,CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,imagAPI,OCRSearch,theta_080,theta_099,PercentEspAcerto,IN_ENCCEJA,IN_ENEM
676,178,MT,25072,A,"1,0",0,,"3,18627","0,2695","0,24656",Cinza,PROVA CINZA PPL,,"0,0",2015,"526,9544124603271",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/25072.png,"QUESTÃO 178

Uma pesquisa recente aponta que 8 em cada
10 homens brasileiros dizem cuidar de sua beleza, não
apenas de sua higiene pessoal

Superinoressante, n. 04, mato 2912 (adaptado)

Outra maneira de representar esse resultado é
exibindo o valor percentual dos homens brasileiros que
dizem cuidar de sua beleza.

Qual é o valor percentual que faz essa representação?
O s0%

os

O 08%

O 0,08%

e 0,008%
","558,8953495025635","662,1782779693604","62,33",0,1
557,163,MT,7025,B,"2,0",0,,"1,425","2,02","0,196",Cinza,PROVA CINZA PPL,,"0,0",2015,"701,9989490509033",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/7025.png,"QUESTÃO 163

A bandeira de um estado é formada por cinco faixas,
A,B,C, De E, dispostas conforme a figura

B
c
D
E

Deseja-se pintar cada faixa com uma das cores verde,
azul ou amarelo, de tal forma que faixas adjacentes não
sejam pintadas com a mesma cor.

A

O cálculo do número de possibilidades distintas de se
pintar essa bandeira, com a exigência acima, é
1x2x1x1x2

3x2x1x1x2

3x2x1x1x3

3x2x1x2x2

3x2x2x2x2

vo000
","779,5612812042236","1008,9819431304932","59,8",0,1
1957,142,MT,16949,C,"3,0",0,,"2,29135","1,87822","0,18353",Cinza,PROVA CINZA PPL,,"0,0",2018,"687,8297328948975",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/16949.png,"QUESTÃO 142

Usando a capacidade máxima de carga do caminhão
de uma loja de materiais de construção, é possível levar
60 sacos de cimento, ou 90 sacos de cal, ou 120 latas de
areia. No pedido de um cliente, foi solicitada a entrega de
15 sacos de cimento, 30 sacos de cal e a maior quantidade
de latas de areia que fosse possivel transportar, atingindo
a capacidade máxima de carga do caminhão.

Nessas condições, qual a quantidade máxima de latas de
areia que poderão ser enviadas ao cliente?

os

o

es

os

e 9
","736,9487285614014","879,41575050354","59,18",0,1
450,166,MT,40131,B,"4,0",0,,"1,78611","1,16553","0,41758",Cinza,PROVA CINZA REGULAR,,,2014,"616,5568828582764",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/40131.png,"QUESTÃO 166.

Um show especial de Natal teve 45 000 ingressos
vendidos. Esse evento ocorrerá em um estádio de futebol
que disponibilizará 5 portões de entrada, com 4 catracas
eletrônicas por portão. Em cada uma dessas catracas,
passará uma única pessoa a cada 2 segundos. O público
foi igualmente dividido pela quantidade de portões e
catracas, indicados no ingresso para o show, para a
efetiva entrada no estádio. Suponha que todos aqueles
que compraram ingressos irão ao show e que todos
passarão pelos portões e catracas eletrônicas indicados.
Qual é o tempo mínimo para que todos passem pelas
catracas?

O 1hora
O 1horae 15 minutos.
O 5horas.
O 6horas.

O Ghoras e 15 minutos
","652,8441905975342","843,1499004364014","70,88",0,1
673,173,MT,24735,C,"5,0",0,,"1,64209","0,80784","0,16129",Cinza,PROVA CINZA PPL,,"0,0",2015,"580,7702541351318",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/24735.png,"QUESTÃO 173

Um promotor de eventos foi a um supermercado para
comprar refrigerantes para uma festa de aniversário.
Ele verificou que os refrigerantes estavam em garrafas
de diferentes tamanhos e preços. A quantidade de
refrigerante e o preço de cada garrafa, de um mesmo
refrigerante, estão na tabela.

Quantidade de | p,

Garrafa refrigerante (RS)
(litro) (R$)
Tipo | 05 068
Tipo 10 0,88
Tipo Il 15 1,08
Tipo IV 20 1,68
Tipo V 30 258

Para economizar o máximo possível, o promotor de
eventos deverá comprar garrafas que tenham o menor
preço por litro de refrigerante.

O promotor de eventos deve comprar garrafas do tipo
o

oi

en

o

ev
","651,4947414398193","849,7874736785889","58,06",0,1
1947,137,MT,81870,A,"6,0",0,,"1,28198","0,43343","0,22049",Cinza,PROVA CINZA PPL,,"0,0",2018,"543,3242321014404",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/81870.png,"QUESTÃO 137

Uma tomeira do tipo 5 de volta é mais econômica, já
que seu registro abre e fecha bem mais rapidamente do
que o de uma torneira comum. A figura de uma torneira
do tipo 5 de volta tem um ponto preto marcado na
extremidade da haste de seu registro, que se encontra
na posição fechado, e, para abro completamente,
é necessário girar a haste 7 de volta no sentido anti-
«horário. Considere que a haste esteja paralela ao plano

nt
4 Nt E haste

Disponível em: win com be Acesso em 13 now 2014,

Qual das imagens representa a projeção ortogonal, na
parede, da trajetória traçada pelo ponto preto quando o
registro é aberto completamente?

NON
","626,3296604156494","882,1289539337158","61,02",0,1
731,160,MT,28646,C,"7,0",0,,"1,98262","2,01086","0,12481",Cinza,PROVA CINZA REGULAR,,"0,0",2015,"701,0858058929443",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/28646.png,"QUESTÃO 160 000000

Para o modelo de um troféu foi escolhido um poliedro
P, obtido a partir de cortes nos vértices de um cubo. Com
um corte plano em cada um dos cantos do cubo, retira-se
o canto, que é um tetraedro de arestas menores do que
metade da aresta do cubo. Cada face do poliedro P. então,
é pintada usando uma cor distinta das demais faces.

Com base nas informações, qual é a quantidade de cores
que serão utilizadas na pintura das faces do troféu?
","762,4523639678955","926,0599613189696","56,24",0,1
1453,20,MT,11758,B,"8,0",0,,"2,52165","1,59123","0,16603",CINZA,PROVA CINZA REGULAR,,"0,0",2017,"659,1193675994873",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/11758.png,"QUESTÃO 155

Raios de luz solar estão atingindo a superfície de
um lago formando um ângulo x com a sua superfície,
conforme indica a figura.

Em determinadas condições, pode-se supor que a
intensidade luminosa desses raios, na superfície do
lago, seja dada aproximadamente por (x) = - sen(x)

sendo k uma constante, e supondo-se que x está entre
0ºe go”

Quando x = 30º, a intensidade luminosa se reduz a qual
percentual de seu valor máximo?

03%
O 50%
O 57%
O 70%
O 86%
","704,8742771148682","834,0709209442139","58,3",0,1
3454,147,MT,63204,E,"9,0",0,,"3,78296","1,88956","0,14444",CINZA,PROVA CINZA REGULAR,,"0,0",2022,"688,9526844024658",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/63204.png,"QUESTÃO 147

Uma loja comercializa cinco modelos de
caixas-dágua (1, Il, Il, IV e V), todos em formato
de cilindro reto de base circular. Os modelos Il, ll, IV e V
têm as especificações de suas dimensões dadas em
relação às dimensões do modelo |, cuja profundidade é P
e área da base é A,, como segue:

+ modelo Il: o dobro da profundidade e a metade da
área da base do modelo |;

+ modelo III: o dobro da profundidade e a metade do
raio da base do modelo |;

+ modelo IV: a metade da profundidade e o dobro da
área da base do modelo |;

+ modelo V: a metade da profundidade e o dobro do
raio da base do modelo |.

Uma pessoa pretende comprar nessa loja o modelo
de caixadágua que ofereça a maior capacidade
volumétrica.

O modelo escolhido deve ser o
","720,3381061553955","806,2570095062256","57,22",0,1
2357,157,MT,14324,D,"10,0",0,,"3,8143","2,48432","0,09189",Cinza,PROVA CINZA REGULAR,,"0,0",2019,"748,4261989593506",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/14324.png,"Questão 157

O Sistema Métrico Decimal é o mais utilizado
atualmente para medir comprimentos e distâncias.
Em algumas atividades, porém, é possível observar
a utilização de diferentes unidades de medida.
Um exemplo disso pode ser observado no quadro.

Unidade Equivalência
Polegada 2,54 centímetros

Jarda 3 pés
Jarda 0,914 metro

Assim, um pé, em polegada, equivale a

O 0,1200.

O 0,3048.

O 1,0800.

O 120000.

€ 36,0000.
","781,5783023834229","866,3480281829834","54,59",0,1
